"""%Y-%m-%d""";X.DJI.Close;X.GDAXI.Close
2002-05-27;0;0.01266
2002-05-28;-0.01222;-0.008696
2002-05-29;-0.005882;-0.007506
2002-05-30;-0.001144;-0.02485
2002-05-31;0.001367;0.01176
2002-06-03;-0.02195;-0.01471
2002-06-04;-0.002263;-0.02607
2002-06-05;0.01118;-0.00032
2002-06-06;-0.01773;0.007156
2002-06-07;-0.00364;-0.01022
2002-06-10;0.005795;-0.004548
2002-06-11;-0.01337;0.003661
2002-06-12;0.0105;-0.02104
2002-06-13;-0.01202;-0.00892
2002-06-14;-0.003013;-0.03791
2002-06-17;0.02225;0.03902
2002-06-18;0.001928;-0.00926
2002-06-19;-0.015;-0.01799
2002-06-20;-0.01367;-0.02538
2002-06-21;-0.01905;-0.003133
2002-06-24;0.003024;-0.02517
2002-06-25;-0.01684;0.01819
2002-06-26;-0.0007355;-0.02504
2002-06-27;0.01629;0.03838
2002-06-28;-0.00288;0.0285
2002-07-01;-0.01454;-0.0036
2002-07-02;-0.01126;-0.03991
2002-07-03;0.005228;-0.01387
2002-07-04;0;0.0287
2002-07-05;0.03521;0.05135
2002-07-08;-0.01121;-0.00912
2002-07-09;-0.01947;-0.01647
2002-07-10;-0.03156;-0.04195
2002-07-11;-0.001359;-0.01726
2002-07-12;-0.01338;0.002982
2002-07-15;-0.005234;-0.05429
2002-07-16;-0.01941;0.01654
2002-07-17;0.008154;0.02852
2002-07-18;-0.01569;0.001936
2002-07-19;-0.04751;-0.05228
2002-07-22;-0.0297;-0.05288
2002-07-23;-0.01062;-0.04874
2002-07-24;0.06155;0.03269
2002-07-25;-0.0006081;-0.03137
2002-07-26;0.009493;0.01649
2002-07-29;0.05273;0.07553
2002-07-30;-0.003663;0.004952
2002-07-31;0.006495;-0.04719
2002-08-01;-0.02668;-0.02565
2002-08-02;-0.02301;-0.02072
2002-08-05;-0.03296;-0.05824
2002-08-06;0.02825;0.06842
2002-08-07;0.02177;-0.02932
2002-08-08;0.02981;0.05984
2002-08-09;0.00383;0.02194
2002-08-12;-0.006488;-0.03071
2002-08-13;-0.02405;0.009844
2002-08-14;0.0303;-0.02565
2002-08-15;0.008522;0.0209
2002-08-16;-0.004556;0.005156
2002-08-19;0.02395;0.04068
2002-08-20;-0.01329;-0.01819
2002-08-21;0.009553;0.0261
2002-08-22;0.01071;0.009873
2002-08-23;-0.02016;-0.02024
2002-08-26;0.005177;-0.01167
2002-08-27;-0.01066;0.01768
2002-08-28;-0.01488;-0.04474
2002-08-29;-0.002661;-0.005962
2002-08-30;-0.0008642;0.0141
2002-09-02;0;-0.02828
2002-09-03;-0.04189;-0.06007
2002-09-04;0.01399;0.007886
